iter,attempt,entry_params,exit_params,trades,final_equity,total_return_%,max_drawdown_%,win_rate_%,profit_factor,avg_R,favourable
66,66,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.6, 'liq_move_away_atr': 3.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",72,99934.67606324542,-0.06532393675457993,-14.122295321754441,41.66666666666667,0.9983931905089891,0.006666666666578126,False
67,67,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.6, 'liq_move_away_atr': 4.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",65,99733.46640497485,-0.2665335950251424,-14.830391528308706,41.53846153846154,0.9928581809713648,0.0034615384614499014,False
68,68,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.6, 'liq_move_away_atr': 4.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",63,92159.2927266992,-7.840707273300795,-16.928888755719417,36.507936507936506,0.7974826550588227,-0.12230158730167308,False
69,69,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.6, 'liq_move_away_atr': 5.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",63,96874.2592142979,-3.1257407857021025,-13.039627224386086,39.682539682539684,0.9178142586701836,-0.04293650793659549,False
70,70,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.6, 'liq_move_away_atr': 5.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",55,100158.10547980064,0.15810547980064094,-9.51702316372015,41.81818181818181,1.0048774610541418,0.010454545454456782,False
71,71,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.8, 'liq_move_away_atr': 1.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",74,108147.87486925078,8.14787486925077,-9.151560804514459,45.94594594594595,1.2035116722104346,0.11364864864855781,False
72,72,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.8, 'liq_move_away_atr': 1.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",73,109278.9116043559,9.2789116043559,-8.201445768215443,46.57534246575342,1.236159371098842,0.12938356164374445,False
73,73,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.8, 'liq_move_away_atr': 2.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",71,106146.05097982104,6.146050979821038,-9.536729802914866,45.07042253521127,1.158586733683479,0.09176056338019133,False
74,74,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.8, 'liq_move_away_atr': 2.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",68,104181.28097507596,4.181280975075952,-9.344349862103618,44.11764705882353,1.1107162645165258,0.06794117647049834,False
75,75,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.8, 'liq_move_away_atr': 3.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",64,98293.46711178726,-1.7065328882127306,-13.039627224386074,40.625,0.9533451782735596,-0.019375000000088027,False
