entry_time,exit_time,side,entry,sl,tp,units,exit,exit_reason,pnl,equity_after,r_multiple
2021-07-13 03:00:00+00:00,2021-07-13 05:00:00+00:00,long,1.18733,1.1858,1.19039,1617730.43510409,1.1858,SL,-2507.482174411602,245005.27439651923,-1.013071895424922
2021-07-14 01:00:00+00:00,2021-07-14 02:00:00+00:00,short,1.17765,1.17834,1.1762700000000004,3550801.0782111576,1.17834,SL,-2521.0687655298807,242484.20563098937,-1.0289855072465728
2021-07-28 02:00:00+00:00,2021-07-28 06:00:00+00:00,long,1.1822,1.1809,1.1847999999999996,1865263.1202385854,1.1809,SL,-2462.14731871491,240022.05831227446,-1.015384615384718
2021-08-06 15:00:00+00:00,2021-08-10 10:00:00+00:00,short,1.17608,1.1780599999999999,1.1721200000000003,1212232.617738839,1.1721200000000003,TP,4776.196513890553,244798.254826165,1.9898989898989228
2021-08-25 03:00:00+00:00,2021-08-25 08:00:00+00:00,long,1.17374,1.17282,1.17558,2660850.595936484,1.17558,TP,4842.748084604223,249641.00291076922,1.9782608695650759
2021-09-10 00:00:00+00:00,2021-09-10 02:00:00+00:00,short,1.1823,1.183,1.1808999999999996,3566300.041581679,1.183,SL,-2567.7360299397933,247073.26688082944,-1.0285714285716099
2021-10-15 04:00:00+00:00,2021-10-15 08:00:00+00:00,long,1.16079,1.16025,1.16187,4575430.868163636,1.16025,SL,-2562.241286172167,244511.0255946573,-1.0370370370372808
2021-10-27 08:00:00+00:00,2021-10-27 12:00:00+00:00,short,1.16051,1.1618,1.15793,1895434.3069353083,1.1618,SL,-2483.0189420855277,242028.00665257176,-1.0155038759690937
2021-10-29 07:00:00+00:00,2021-10-29 08:00:00+00:00,long,1.16629,1.1653,1.1682700000000001,2444727.339924853,1.1653,SL,-2469.174613324535,239558.8320392472,-1.0202020202021516
2021-11-01 00:00:00+00:00,2021-11-01 08:00:00+00:00,short,1.15562,1.1567699999999999,1.1533200000000006,2083120.2786025803,1.1567699999999999,SL,-2437.250725964797,237121.58131328243,-1.0173913043479437
2021-11-30 12:00:00+00:00,2021-11-30 13:00:00+00:00,long,1.13474,1.1339000000000001,1.13642,2822875.9680154286,1.13642,TP,4685.97410690497,241807.5554201874,1.9761904761903186
